text,sentiment
1hr delay start huge queue security no representative meet us rude staff baggage reclaim,-1
two whole people try schedule flight worth miss connections shameful,-1
cancel flightled flight bna flight bna 2 mdw tomorrow strand den hold day,-1
yes boston go providence,0
thank free birthday point ! right !,1
reminder 2 28 tweet,0
accept passbook app board pass app work amp not,0
find camera ! thank ! rock !,1
thank much ! ! red_heart sparkle relax flight !,1
comin clutch send charlotte home h8 except wayne real g,-1
hey chance update flight 99 hartford c ?,0
hook free trip barbados tell secret beach see,0
hotel tonight expect pay even money not money ! ! suppose get call back,-1
suppose take almost 2 hours ago ?,-1
dallas fort worth flight number 5320,0
things happen ok wish beach not airport,1
3rd time fly southwest two years another trip back mx october,0
already reply sorry believe fair journalist write article trip include,0
share 4q result,0
hope still bae ! haa man,0
want let know wonderful rosetta gate agent work flight 6457 dan ase let know wasappreciated,1
great aa1103 sit hour first technical problems ?,-1
curious thank response always good bad better competition,1
thank link might old news first 2015 flight,0
great ! pls let know start !,1
delay days mco gt iad finger cross make connection home albany,-1
no word delay reason twitter aflame flight track computer crash rumor true not ?,-1
chance flight ewr pit cancel flight tomorrow ?,0
thank literally call preboarding run,1
would go back aruba fly jfk,0
great flight,1
​ fly love austin excellent news,1
even better price change 2 minutes since talk lady still honor cheap1,1
awwweesssooomee !,1
still wait,-1
thank bring son home,1
thank link finally arrive brussels 9 h schedule,-1
really need better system handle cancel flightled flight,-1
thank ! absolutely smiling_face_with_sunglasses,1
not enough push crew jfk 1 5 delay count,-1
4 hour maintenance delay not enuf charge 25 bag global service platinum mbr get shit together,-1
bag not even load plane ? ? ?,-1
can not change flight not enough operators handle call,-1
leave personal stuff us4551 phl bos hour ago go baggage tell plane leave call 800,0
airlines change mileageplus program winners losers,0
speak rep phone suggest voice concern via email us site moments ago,0
yes go pick pay 40 cab ride rude employee poor customer service,-1
oh aa speed dial,0
intend much 4 000 followers well,0
still best,1
none flight cancel flightled land fine completely arbitrary,1
brink bankruptcy fleet fleek,0
flight ua3576 gate b1 tell ray somehow make 736 flight iah not wait 917 one Happy_face_or_smiley,1
patiently drink tweet experience,0
hi email share detail ? thank frank,0
absolutely !,1
almost miss flight long slow bwi ticket line rather make complaint flight ?,-1
ridiculous get home suppose land 3 hours ago hella tire,-1
airline embarrass get bad weather not fault response could not worse,-1
disappoint partner no communication 2 extremely late flight flight really around horrible,-1
2day no coffee amp 1 work toilet read domestic airlines whine foreign competition coincidence ? no,-1
good thing hold flight 11 peep late flight connect flight still make destination time,1
past,0
guess follow order send dm try not send,-1
good not understand terminology merger bring new verbiage,0
thank ! ! guy awesome !,1
guy try right,0
lap infant 4 mons old,0
fact see black history month 12 months year honorable ! economic base corp like future !,1
could check swu typo last post space aa199 mxp jfk feb 28th ? thank,0
rhonda c atlanta airport redeem guy get us straighten,1
great job add little luxuries aesthetics improve air travel experience thank keep !,1
129 thousand fan ask give utmost effort get safe flight baggage soon !,0
dm follow,0
super spring tide tide century draw tourists french k coast,0
great day air,1
dm possible not follow ?,0
airways see significant decline short interest jblu wkrb news,0
airport snow removal method keep good work folks cessna become 747 !,1
would great thank ! send follow,1
pls hold ua2066 9 cnx pax frm ua6194 runners 5 min hold save 2 fam frm miscnx pls twitter watch,0
set figure baggage office !,0
space doctor note everything first trip lose first suitcase among issue not please,-1
know use twitter bro ? terminal look like bosnia another pic,-1
best case point,1
not want deal world might want know treat customers,-1
frustrate customer,-1
thank much ! !,1
give guy raise great start flight az mke,1
5 hours still no call back hang automate system,-1
anything yet jj ?,0
flight 2155 arrive e11 penguin plane ?,0
word whether not flight 1971 seattle charlotte connections hold ?,0
not yet next terminal customer service area,-1
not happy ! ! try get home cancel flight flight amp hold 2 hours help ! ! crazy,-1
flight 1041 savannah ga,0
yeah aware hence original message,-1
check see flight nyc expect delay cancel flightled tuesday ?,0
bad say take 10 14 days via confirmation email inquire 3 weeks claim 6 8 weeks !,-1
please give tara g pat back praise helpful phl member lounge,1
aisle please,0
flight attendant announce transportation wait us flight think make,0
not take care flight screw up,-1
winners announce ?,0
check online state status close mean ? yet able reach live person,-1
issue website log ? app ? know enter info correctly can not sign ! Frown sad angry_or_pouting,-1
consider purchase 21st attempt use 21st believe would fit parameters,0
not know try call confirmation call not go thru let know ?,-1
thank kevin team f38ish phl great service recovery tonight appreciate,1
get bangkok 17 days spend husband mid deployment leave like get soon possible,0
possible redeem miles one part round trip itinerary without book two separate reservations ?,0
suck best,1
try change flight via dfw tomorrow can not get thru phone long wait cut x2 help please ?,-1
usually excellent swa flight !,1
redeem point package magically go time finally get 10 01 felt like,-1
aa miles usair flight book american ?,0
great thank !,1
since high likelihood snow time flight tomorrow chance rebook sunday ?,0
charge oversize ? not overweight,0
can not fly precipitation plan not work 5 3rd airline better charm tomorrow,-1
48 hours still no bag could fly costa rica back gift family bag,0
swa help hotel industry always book flight day need somewhere swa consistent cancel flight delay,-1
thank not sure arrange move earlier flight gate seat assignment super nice agent gate c4 ord,1
not driver service get employees work bad weather like hospitals etc,-1
michelle t1 ord train staff treat customers refresh pleasure deal,1
price cache ? ! book flight refresh page amp price jump 73 159 ridiculous expressionless_face,-1
hi travel question could please follow dm ?,0
receive awesome phone help jim today help switch around flight book point,1
thank next weekend though guess go higher,0
dad book orbitz due weather can not make airport help ?,0
atl rdu snow forecast raleigh even,0
1st x tell no travel advisory two hrs hold amp disconnect fl bhm charlotte phl not go help ! ! !,-1
thank !,1
able send dm good,1
2 half hours hold hope feel good steam pile shit pay far much,-1
say 140 character ! plus not follow,-1
thank daughters 13th bd party w proj weather cond not look promise please assist earlier flts cmh ?,1
thank weary_face not know still late flight hope get tonight loudly_crying_face,1
not get wrong love fly tv free bag descent fare recent plane problems annoy,-1
partner first trip buy ticket time please seat us next conf ilc0hp,0
relax space drink flight ! global first lounge,1
ceo weigh profit flyers registration,0
thank timely service amp great staff get wife cancun past week honeymoon,1
brian sfo customer service deserve raise give extra meal voucher good joke cheer flight delay,1
thank help appreciate,1
thank mean 30 minutes make international connection hkg,0
long bill cycle,0
cancel flight every flight not,-1
not receive drink coupons 65 000 point ? friends ?,-1
departure people delay get 200 compensate time,-1
stick ord unite can not find airplane lol terminal right,-1
reply not good check outlets preflight move different equipment board due malfunction,-1
go ? hear not friendly please wait repeat hold transfer not know,-1
2 aisles empty seat can not move not pay ? !,-1
hop voucher future flight,1
flight tomorrow ?,0
yes please ! newly marry try update last name preexist international flight ! seem easy,-1
hey sexy tattoo get leave engine,1
thank follow glad get bag back,1
love snack winking_face,1
want change ba avios,0
would need follow first,0
try request miss mileage keep say can not flight 2 13 say call number,-1
ewr agent barbara fabulous example cust serv pleasure talk smiling_face_with_smiling_eyes,1
super smooth flight land nicely do,1
ceo challenge appease passengers wall street columbian,0
seriously attendants go awol 60 mins flight delay not lite match either,-1
touch miami not far nicely do unite thumbs_up,1
do 1 truck no biggie grinning_face_with_smiling_eyes,1
secondly not begin board time despite aircraft present deplane thus leave 30 min late flight,-1
way ord abq anytime within next 7 hours ?,0
do want send screen shoot second call 45 minutes ?,-1
record number bpdfpp,0
not put bag plane seattle flight 1212 wait line talk someone bag status matter,-1
oh saw say nothing,0
miss mine terribly 1 30th anniversary would amaze would mean love air,1
great experience customer service team thank ! list,1
get email think not suppose reply face_with_tears_of_joy,0
awesome ! yes !,1
new logo go look amaze airplanes,1
travel 2bwi nmaryland 2morrw chance flight cancel flightled inclement weather ? chance get earlier flight,0
thank 436 minor delay not big deal Happy_face_or_smiley appreciate concern though board amaze service !,1
thank hope get destination,1
flight cancel flightled hold 2 hrs reschedule need help take way long,-1
k thank Happy_face_or_smiley,0
great thank,1
no still try get home,-1
shhhh not want something else steal deal winking_face,1
yeah 7am flight tomorrow go add 60 90 min extra roads snow,0
fine take,1
send look functionality app though one click action,-1
another awesome new plane flight 1584 extremely nice captain steve connolly,1
fuck,-1
thank get orlando early,1
not honor absurdly low mistake fare,0
can not believe advice call customer service hold 3 hrs morning finally give,-1
oh yeah ! ! ! great flight mexico wonderful crew ! ! thank ! !,1
please help,0
come airline 90 flight last year make check carry not even gate check baggage claim ? ! ?,-1
i6ep18,0
thank quick responses usually fantastic customer service shock not,1
absolutely send ?,0
flight attendant regain karma give big sweaty dad cold water guy run amp carry daughter last one onboard,1
ua 1k think look help,0
admit not app good lot useful func live seat map congrats,1
kudos captain crew handle fustrated people deal preventable issue shortcomings maint,1
thank follow,1
hear airport close due thick fog update,0
thank much can not wait fly guy Happy_face_or_smiley,1
yes make flight get workout,0
lose loyal customers use 4 10 time year,-1
3 days late flightr bag not leave iad unite not help everyone tell different story,-1
thank value feedback ?,0
thank no one pilot last two flight strand houston tonight airlines absolute worst,-1
airways see significant drop short interest jblu mideast time,0
thank get home denver tonight despite snow !,1
yes lot terrible customer service newark despite raise complaint ignore hence tweet,-1
love companion pass qualify 4th year,1
flight resume ? see open schedule,-1
think not not fly help,-1
go speak customer service airport tomorrow morning see options need flight tomorrow,0
anytime sugafly,0
unite terminal sfo airport,0
try get mexico september ! affordable nonstop flight ? ? ? ?,0
option use twitter people work no clue tell go a4 b16,-1
thank,0
busy cell phone ? ? ?,-1
please tell unite fly sydney australia pref asia pac us voucher redeem,0
help need help ribbon United_Kingdom ribbon United_States ribbon,0
flight frankfurt san francisco go chicago flight crew hours due de ice delay,-1
thank betty work gate ilm lovely gate agents clt help get home 2 phx tonight instead tomorrow,1
last night thank follow Happy_face_or_smiley,1
almost 2 hours hold need cancel flight flight get refund airlines operate !,-1
understandable issue create new flight without personnel change plan accommodate,-1
flite454,0
plane veer runway icy dallas airport,0
funny email find not leave lhr mean time stick no bag nyc ! ! !,-1
aa gate supervisor emplid 600117 allow flight aa67 leave jfk sj 20feb15 w 8 customers make final board call,0
99 companion ticket benefit premier world mastercard still limit usairways flight aa qualify well ?,0
great flight crew ! flight 51 bos mco,1
thank know ya can not control weather appreciate ya work get flight rebooked last two days,1
flight 1219 frustration boil deal attendant attitude ridiculous,-1
scott best ! ! ! thank yo bottom heart two_hearts friends la see friday,1
cancel flight flight go another airline 2 leave 2day cancel flight also call jetblue amp get flight 250 goblin,-1
not hire people deal call volume absolute garbage,-1
gerne Happy_face_or_smiley,0
cancel flight flight bna today ? ? ?,-1
enjoy flight far ! great job today tough thank make flight comfortable,1
flight ? thank reply,0
snack leave purpose team Happy_face_or_smiley helpful morning desk phone !,1
anything,1
fuck shitty fuck information,-1
know last chance ?,0
wait desk 45 hold 36min count photo desk agent phone not flatter,-1
well not want customers frustrate compensate appropriately screw royally ! !,-1
can not get reservations take look ? 2 hour hold time not reasonable industry !,-1
flight ua3774 two delay cancel flightled no flight norfolk not book rent car,-1
hi leave asus tablet flight heathrow newark 16th feb wonder long take someone check find ?,0
b contact directly phone service laissez faire best problem not cancel flightled flight,-1
go compensate whose days plan ruin aa3490 delay pending cancel flightlation ?,-1
still wait reply,-1
reminder 2 28 tweet join us,0
! do head warmer weather !,1
send thank vp !,1
exception everything ask heh,0
thank empathy story luggage thank reach,1
kill inside,-1
best pilot ever thank guy great trip,1
not understand not flight pay premium get cancel flight best next available flight,-1
yes appreciate misinformation damage credibility may want someone observe newark,-1
appreciate reply rt sorry keep wait laura agent shortly cb,1
surprise go 1k last year nothing year happen soft land policy no 1 level ?,0
worst customer service experience ever unite airlines,-1
lose black wallet flight 2208,0
thank !,1
meet,0
thank info ! good day,1
customer service finest,1
pay 25 fare difference change can not seem find receipt get copy reimbursement,-1
lmfao love,1
send trust traveler id add reservation tsa pre ?,0
fail set song,0
gate attendant mccarran c16 vegas dallas go beyond long day frustration welcome,1
come cheaper fly bkk nrt even though get bkk take extra flight nrt !,0
guy help please ?,0
! wack ass terminal 6 no food no lounge no bueno ! ! never ! ! !,-1
would suggest proper information dissemination staff timely amp relevant schedule prevent future,0
weeks,0
staff lax really mess one fail scan suitcase tag,-1
deal cancel flightled flight since last night amp book 6 15 flight would least like see ella perform lol,-1
ok ! southwest still best airline around ! hate baggage room run check bag headphones !,1
especially mom !,0
route flight mexico city chicago midway use service ?,0
allow not allow carry check baggage ?,0
customer service ? ? ?,-1
easy fix let business select actually board 1st board pre board,0
thanx reply dm send,1
worry bag go san dca 24 hours reunion organize breeze !,-1
please come indianapolis !,1
go court gain access gate love field,0
stellar customer service earn business attention detail,1
thank,1
hi guy submit request ticket hotel reimbursement delay night stay come back dominican help ?,0
please start offer rout locations instead charlotte atlanta,0
seriously pls pls bring people help us ! still flight ord frm dfw want,-1
nice aa employee make skillful excuse late flightness due cater snafu,-1
meet customer service arrival flight ua3787 pvd iad thank guy really handle storm !,1
almost 3 million miles w loyal r go reciprocate ? joke,-1
thank vouchers long wait runway saturday night bwi ! really appreciate !,1
follow,0
3198 aex still go ?,0
hello ! can not register tomorrow flight paris las vegas feature currently unavailable appear ?,0
please follow dm ?,0
love fly southwest excellent service not take seriously !,1
never travel insanity storm inevitable make us hold add lap child,-1
oh great 5 hour delay get sit plane another hour without move flight 1137 awful,-1
practice give 1st class seat us air employees give chairman customers sit coach ?,0
board back airplane first like boss,1
no busy awesome try get us soon possible deal,1
thank lose luggage,-1
hi ! thank ! exact link specific page site share flight status ? thank !,0
ever reinstate cancel flight flight ?,-1
! thank !,1
hope fly often would hate change airlines,0
male flight attendant flight 3913 orlando indy amaze ! need raise thumbs_up best experience,1
cool plane say leave terminal different city ? cold betch fly friendly sky,-1
alternatives ? absolutely no respect loyal customers 8 years no do,-1
appreciate !,1
plan reduce delay ?,0
thank,1
id favorite band meet 2bestfriends thank ! would life change see !,0
customer service experience tweet quality assurance,-1
look like february 19 2015 open schedule sale october 30 2015 know time ?,0
leave soon thank !,1
please ! go beyond make us number one priority !,1
bad weather not excuse not follow establish luggage procedures,-1
hold airline 45 min count service terrible !,-1
fly lax sfo system not let check site tell tell,-1
global first class lounge ord menu yummy !,1
love companion pass !,1
dm not go 261633561838 please let know need anything else,0
thank ! love anxious flyer,1
way high heeled_shoe United_Kingdom high heeled_shoe United_Kingdom high heeled_shoe United_Kingdom,1
please dm,0
sit throne lie,-1
saturday snow dc area excite flight not cancel flightled sad go miss,-1
work piece military discount hear offer one give specifics confirm ? thank !,0
cup coffee relax check new deal promotions avon twice month doug,0
forget wed fair discount nonprofits ? donate part worth every single day,0
smash window giant guest sit next no way guy give 1 seat,-1
thank response get get point onto reward account ?,0
need back cleveland early possible tomorrow,0
blue help bring color eye promise not eat free snack,1
yes land,0
flight 1106 cancel flightled need get back cleveland options ?,-1
guy really no customer service,-1
thank quick customer service today know winter weather not fault,1
miss continental days,-1
continue win never miss flight nice little quiet gate change make possible sheesh,1
absolutely ! ! staff amaze ! !,1
cool thank,1
follow not think dm follow,0
thank !,1
not want seem crazy ! already ask twice !,-1
love ! always get best deal !,1
follow send info ?,0
lilly sju check fabulous !,1
another line call hold 5 hours ? also get compensate loss time money ?,-1
try check 40 mins flight rather 45 mins stonewall employees,-1
ask waiver change fee flight book w past 24 hrs rep rude tell no not even try help !,-1
merge miles complete ? not month ?,0
thank margo houston bush intercontinental get home earlier,1
great ! appreciate smiling_face_with_smiling_eyes,1
flight number,0
ua roll improvements think hop catch soon ? meantime ana preference !,0
haha no need apologize beaming_face_with_smiling_eyes flight book problems sooner late flightr love jetblue,1
expect delay tomorrow morning ?,0
18 loudly_crying_face,0
thnx lo Happy_face_smiley,1
thank update,1
never hear ?,-1
two hour wait,-1
add ktn exist reservation ?,0
travel book thru unite group dept okc ticket agent less will help connection lax,-1
jua jfk ask desk incredibly helpful ! thank !,1
need refund,-1
guy get rid hip hop station sirius xm ?,0
take 3 round trip ticket closest warmest place please !,0
say sell amp coworkers would need get first available,0
would love see girls get inspire become pilot rt free albuquerque event,0
please follow,0
hold 28 minutes please help,0
really embarrass ask complimentary drink snack detail,-1
9 hrs baltimore still not go get baggage greenville w unbelievable,-1
agents force check carry bag receive bag find crew steal lose business !,-1
guy really bad someone better call wife back get handle 203 382 3312 wait hold,-1
get stand list ase ord ? poor person aspen ask standby twitter,0
good hear thank responsive,1
2nd time rebooked w delay reason unrelate flightd weather go request flight voucher ?,-1
thank make trip home next flight take selfies !,1
amaze ! ! ! best ! ! ! follow please folded_hands folded_hands folded_hands crying_face crying_face crying_face folded_hands folded_hands folded_hands,1
work buy rental car fail get location pay get,-1
love ya ! ! ! ! sing song finally get plane back nashville ! ! !,1
no reason take 7 10 days respond,-1
yes please,1
bag fly free not go,-1
stay warm pass chicago next week,1
really not use word crash sayin,0
rebooked handle unprofessionally cancel flightations happen disorganization uncalled,-1
fill hope someone respond book next trip,-1
still not hear thing,-1
good thank !,1
contact miss rapid reward credit ?,0
call hook !,0
book flight hawaii ? ?,0
dad segway best part whole infographic !,1
hi discount award policy credit card holders change ? no longer see chart specials site thank !,0
thank !,1
eta flight 802 orlando morning,0
yes please,0
black history commercial really sweet well do,1
can not talk agents keep get hang crazy,-1
comically return flight ase two unite flight board adjacent gate not clear plane board,-1
send,0
get ahold reservations supervisor ?,0
,-1
type plane flt 1065 bos rsw ?,0
thank do not understand whose bag could not fit not notify air land,-1
lot talk no mia sfo 20 year old plane,-1
employees great !,1
really enjoy sunday hold 1 hour perhaps better client experience need,-1
classiq love virgin america greetingz,1
fly w infant 1st time bring canister powder formula carry use plastic formula divider ?,0
thank delay checkin noon flt mia force take late flightr flts delay cincy miami 13 hrs !,-1
call thank !,1
make sure do thank help huge race try make sure go smoothly peace,1
thank respond promptly ! look forward 240 kms drive office file claim,1
bro,0
hope see board soon thank tweet ey clapping_hands clapping_hands,1
check often probably hand oscars nerds geeks badly dress,0
could guy follow dm please,0
thank gang ! mind ask handle social media house ?,1
use swu finnair codeshare american operate flight jfk man ? thank advance help !,0
8602947 jon,0
thank whole team time flight despite inclement weather,1
3659 yul ord ?,0
fill ? yes thank !,1
idea spring sales soon travel late flight august early september ? go pa lax,0
reconsider acquisition flight 1843 aa gold flyers insult attendant hang jacket !,-1
pls send tech 2 baggage office poor guy try 2 print claim amp can not need 2 get home upgrade 2 printers mfps,-1
soon send son home saturday,0
thank check ! Happy_face_or_smiley,1
,0
help get flight tonight houston ? not want stick till monday bad weather move,0
look forward watch oscars flight home tomorrow might even get something bubbly drink ! Wink_or_smirk,1
thank make miss important dinner tonight 2 hr delay 20 min tarmac,-1
thank finger cross find,1
well spell name wrong,0
keep Happy_face_or_smiley,1
no lunch time get call answer,0
thank first time unite lounge felt welcome,1
opal dragon book dragon ali weave murder ways philippines australia,0
flight lie flat seat stl pdx around date march 5 ?,0
board plane tell get not plane hour delay loudly_crying_face loudly_crying_face,-1
thank,1
thank ! seattle come !,1
followback dm plz,0
hi guy tell emergency divert zurich new york ? thank john,0
not double book speak cs get plan fix still amateur mistake never happen,-1
also add weather condition terrible expect 18 inch snow advice ?,0
fa attendant 4553 phl pwm tonight fab ! asset team 1f great night team !,1
thank guy ! best ! raising_hands airplane,1
dinner call hon not service would expect 1st class,0
fuck hate customer service hold morning try figure cancel flight flight,-1
worst experience ever way !,-1
go back home ! use company available unfair stay 24 h travel,-1
pilot not worry folks backup backup every part plane thank guy,1
amp weight restrictions carry luggage ? find measurements not weight restrictions tia,0
thank much,1
turn seat cushion clean area please explain issue ?,-1
wait 2 days military bag airport 3 hours away horrible,-1
go stop fly delay everytime time due paperwork ?,-1
someone send note revenue management team ask open bf gf seat 919,0
flight bos cancel flightled no flight till tuesday spend 1000 get flight another airline 170 hotel refund,-1
miss incoming time sit 30 no jetbridge driver miss 45min connection time flight,-1
get gate ua4727 ? turrible,-1
start flight book problems flight november ?,0
best airways ! ! ! ! ! ! ! ! ! ! follow back please folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands,1
secondary screen piece plane miss anything want tell us ?,-1
hope take selfie stick plane today !,0
not great return call day could not ask,1
yay thank ! appreciate help know nut right cold ice !,1
hi ! dividend miles account accidentally list newly marry name oppose legal name try book,0
delay flight redirect gate tell stick original gate would 1 3,-1
thank gate agent extraordinaire seau fong help get book boise hopefully home nyc sometime tonight !,1
worst worst reservation policies worst costumer service worst worst worst congrats not bad !,-1
way manually add gift card ex eu ticket aa metal long haul ba intra eu ?,0
team offer access journal digital journal,0
anyone even respond social media ? awful,-1
crew notify passenger move water not fix tarmac two hours,-1
get square away thank man inside help !,1
amp best friends chance could get ticket ?,1
new market song ?,0
lax29108m make happen please else cruise no luggage tomorrow,-1
probably work,0
4 moms 4 career 1 day trip la,1
would like ask bag pick pit amp take hotel airport someone contact,-1
would love know policy damage luggage,0
meet twitter friend wait outside troubadour,0
assume benefit apply reservation way partner different res use ? combine res ?,0
can not get operator hour worth call cancel flight delay flight automate system not go beyond message,-1
no apology necessary wind delta xoxo,1
many thank reply !,1
first good idea thatthis would happen not cancel flight earlier amateurish no plan,-1
can not unload flight jetway break ? nearly hour,-1
fly stl saturday expect ice amp snow start look travel waivers ? thank !,0
unacceptable 403 90 min late flight miss screw flight tucson leave even land,-1
also family crisis amp charge full price flight plus 200 2 change flight even emergencies,-1
horrible ! ! lose carseat expect us use loner carseat safety regulations say illegal use use car seat,-1
status flight 1272 divert ric ? depart back lga ?,0
not take original flight suppose arrive last night 2 00pm today not get til 5,-1
